2025-04-15 21:18:27,373 - INFO - Player 3, Action 4, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:18:27,376 - INFO - Player 0, Action 45, Action type reserve card, Total tokens 8, Next player 0
2025-04-15 21:18:27,379 - INFO - Player 1, Action 78, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,381 - INFO - Player 2, Action 15, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,384 - INFO - Player 3, Action 2, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:18:27,388 - INFO - Player 0, Action 31, Action type buy card, Total tokens 8, Next player 0
2025-04-15 21:18:27,390 - INFO - Player 1, Action 0, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:18:27,391 - INFO - Player 2, Action 81, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:18:27,393 - INFO - Player 3, Action 57, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,395 - INFO - Player 0, Action 14, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:18:27,398 - INFO - Player 1, Action 27, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,400 - INFO - Player 2, Action 0, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:18:27,403 - INFO - Player 3, Action 12, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,405 - INFO - Player 0, Action 25, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:18:27,406 - INFO - Player 1, Action 76, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,408 - INFO - Player 2, Action 27, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,409 - INFO - Player 3, Action 62, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,411 - INFO - Player 3, Action 61, Action type return token, Total tokens 11, Next player 3
2025-04-15 21:18:27,412 - INFO - Player 0, Action 85, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:18:27,413 - INFO - Player 1, Action 4, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:18:27,415 - INFO - Player 2, Action 65, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,416 - INFO - Player 3, Action 20, Action type pick token, Total tokens 13, Next player 3
2025-04-15 21:18:27,418 - INFO - Player 0, Action 5, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:18:27,420 - INFO - Player 1, Action 2, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:18:27,421 - INFO - Player 2, Action 14, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:18:27,422 - INFO - Player 2, Action 69, Action type return token, Total tokens 11, Next player 2
2025-04-15 21:18:27,423 - INFO - Player 3, Action 65, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:18:27,425 - INFO - Player 0, Action 64, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:18:27,426 - INFO - Player 1, Action 84, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:18:27,427 - INFO - Player 2, Action 83, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,429 - INFO - Player 3, Action 16, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,431 - INFO - Player 0, Action 36, Action type buy card, Total tokens 7, Next player 0
2025-04-15 21:18:27,433 - INFO - Player 1, Action 0, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:18:27,435 - INFO - Player 2, Action 56, Action type buy reserved, Total tokens 9, Next player 2
2025-04-15 21:18:27,436 - INFO - Player 3, Action 72, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:18:27,437 - INFO - Player 0, Action 0, Action type pick token, Total tokens 8, Next player 0
2025-04-15 21:18:27,439 - INFO - Player 1, Action 10, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,441 - INFO - Player 2, Action 7, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:18:27,442 - INFO - Player 3, Action 24, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,444 - INFO - Player 0, Action 2, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:18:27,445 - INFO - Player 0, Action 58, Action type return token, Total tokens 11, Next player 0
2025-04-15 21:18:27,446 - INFO - Player 1, Action 73, Action type return token, Total tokens 8, Next player 1
2025-04-15 21:18:27,447 - INFO - Player 2, Action 75, Action type return token, Total tokens 8, Next player 2
2025-04-15 21:18:27,448 - INFO - Player 2, Action 58, Action type return token, Total tokens 11, Next player 2
2025-04-15 21:18:27,449 - INFO - Player 3, Action 86, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:18:27,451 - INFO - Player 0, Action 36, Action type buy card, Total tokens 7, Next player 0
2025-04-15 21:18:27,453 - INFO - Player 1, Action 14, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:18:27,455 - INFO - Player 2, Action 8, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:18:27,456 - INFO - Player 3, Action 3, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:18:27,458 - INFO - Player 0, Action 9, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:18:27,461 - INFO - Player 1, Action 9, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,463 - INFO - Player 2, Action 47, Action type reserve card, Total tokens 11, Next player 2
2025-04-15 21:18:27,465 - INFO - Player 3, Action 15, Action type pick token, Total tokens 13, Next player 3
2025-04-15 21:18:27,468 - INFO - Player 0, Action 34, Action type buy card, Total tokens 9, Next player 0
2025-04-15 21:18:27,468 - INFO - Player 1, Action 84, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:18:27,469 - INFO - Player 2, Action 59, Action type return token, Total tokens 10, Next player 2
2025-04-15 21:18:27,470 - INFO - Player 2, Action 63, Action type return token, Total tokens 11, Next player 2
2025-04-15 21:18:27,471 - INFO - Player 3, Action 58, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:18:27,474 - INFO - Player 0, Action 26, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:18:27,475 - INFO - Player 1, Action 25, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:18:27,477 - INFO - Player 2, Action 41, Action type buy card, Total tokens 3, Next player 2
2025-04-15 21:18:27,479 - INFO - Player 3, Action 8, Action type pick token, Total tokens 12, Next player 3
2025-04-15 21:18:27,481 - INFO - Player 0, Action 83, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:18:27,483 - INFO - Player 0, Action 58, Action type return token, Total tokens 11, Next player 0
