2025-04-15 21:35:30,525 - INFO - Player 0, Action 26, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,526 - INFO - Player 1, Action 3, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:35:30,528 - INFO - Player 2, Action 3, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,529 - INFO - Player 3, Action 2, Action type pick token, Total tokens 8, Next player 3
2025-04-15 21:35:30,531 - INFO - Player 0, Action 79, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:35:30,532 - INFO - Player 1, Action 9, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:35:30,534 - INFO - Player 2, Action 64, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,536 - INFO - Player 3, Action 44, Action type reserve card, Total tokens 9, Next player 3
2025-04-15 21:35:30,537 - INFO - Player 0, Action 28, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:35:30,539 - INFO - Player 1, Action 64, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:35:30,541 - INFO - Player 2, Action 14, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,542 - INFO - Player 3, Action 7, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,543 - INFO - Player 0, Action 58, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,545 - INFO - Player 1, Action 1, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,546 - INFO - Player 2, Action 64, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,547 - INFO - Player 3, Action 60, Action type return token, Total tokens 10, Next player 3
2025-04-15 21:35:30,549 - INFO - Player 0, Action 56, Action type buy reserved, Total tokens 4, Next player 0
2025-04-15 21:35:30,550 - INFO - Player 1, Action 62, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,552 - INFO - Player 2, Action 10, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,555 - INFO - Player 3, Action 41, Action type buy card, Total tokens 4, Next player 3
2025-04-15 21:35:30,557 - INFO - Player 0, Action 52, Action type reserve card, Total tokens 5, Next player 0
2025-04-15 21:35:30,558 - INFO - Player 1, Action 27, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,560 - INFO - Player 2, Action 71, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,561 - INFO - Player 3, Action 1, Action type pick token, Total tokens 5, Next player 3
2025-04-15 21:35:30,563 - INFO - Player 0, Action 16, Action type pick token, Total tokens 8, Next player 0
2025-04-15 21:35:30,564 - INFO - Player 1, Action 66, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,566 - INFO - Player 2, Action 54, Action type buy reserved, Total tokens 6, Next player 2
2025-04-15 21:35:30,568 - INFO - Player 3, Action 15, Action type pick token, Total tokens 8, Next player 3
2025-04-15 21:35:30,569 - INFO - Player 0, Action 7, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:35:30,571 - INFO - Player 1, Action 4, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:35:30,573 - INFO - Player 2, Action 3, Action type pick token, Total tokens 7, Next player 2
2025-04-15 21:35:30,575 - INFO - Player 3, Action 27, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:35:30,577 - INFO - Player 0, Action 30, Action type buy card, Total tokens 8, Next player 0
2025-04-15 21:35:30,579 - INFO - Player 1, Action 4, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,581 - INFO - Player 2, Action 20, Action type pick token, Total tokens 10, Next player 2
2025-04-15 21:35:30,583 - INFO - Player 3, Action 35, Action type buy card, Total tokens 8, Next player 3
2025-04-15 21:35:30,584 - INFO - Player 0, Action 16, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:35:30,585 - INFO - Player 1, Action 65, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,588 - INFO - Player 2, Action 50, Action type reserve card, Total tokens 11, Next player 2
2025-04-15 21:35:30,589 - INFO - Player 3, Action 3, Action type pick token, Total tokens 9, Next player 3
2025-04-15 21:35:30,590 - INFO - Player 0, Action 69, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:35:30,591 - INFO - Player 1, Action 24, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:35:30,593 - INFO - Player 2, Action 85, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,595 - INFO - Player 3, Action 0, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:35:30,596 - INFO - Player 0, Action 3, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:35:30,597 - INFO - Player 1, Action 63, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:35:30,599 - INFO - Player 2, Action 18, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:35:30,600 - INFO - Player 3, Action 3, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,602 - INFO - Player 0, Action 2, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:35:30,603 - INFO - Player 1, Action 28, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:35:30,604 - INFO - Player 2, Action 80, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,605 - INFO - Player 3, Action 78, Action type return token, Total tokens 8, Next player 3
2025-04-15 21:35:30,606 - INFO - Player 0, Action 62, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:35:30,607 - INFO - Player 0, Action 61, Action type return token, Total tokens 11, Next player 0
2025-04-15 21:35:30,609 - INFO - Player 1, Action 75, Action type return token, Total tokens 8, Next player 1
2025-04-15 21:35:30,610 - INFO - Player 2, Action 26, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,612 - INFO - Player 3, Action 29, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:35:30,613 - INFO - Player 0, Action 16, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,615 - INFO - Player 1, Action 28, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:35:30,616 - INFO - Player 2, Action 86, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,617 - INFO - Player 3, Action 4, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,619 - INFO - Player 0, Action 85, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,621 - INFO - Player 1, Action 36, Action type buy card, Total tokens 7, Next player 1
2025-04-15 21:35:30,622 - INFO - Player 2, Action 13, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,623 - INFO - Player 3, Action 86, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:35:30,625 - INFO - Player 0, Action 14, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,626 - INFO - Player 1, Action 36, Action type buy card, Total tokens 2, Next player 1
2025-04-15 21:35:30,628 - INFO - Player 2, Action 68, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,629 - INFO - Player 3, Action 14, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,630 - INFO - Player 0, Action 65, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,632 - INFO - Player 1, Action 15, Action type pick token, Total tokens 5, Next player 1
2025-04-15 21:35:30,633 - INFO - Player 2, Action 24, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:35:30,634 - INFO - Player 3, Action 85, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:35:30,636 - INFO - Player 0, Action 14, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,637 - INFO - Player 1, Action 0, Action type pick token, Total tokens 6, Next player 1
2025-04-15 21:35:30,638 - INFO - Player 2, Action 78, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,640 - INFO - Player 3, Action 7, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,641 - INFO - Player 0, Action 70, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,643 - INFO - Player 1, Action 28, Action type pick token, Total tokens 8, Next player 1
2025-04-15 21:35:30,644 - INFO - Player 2, Action 13, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,645 - INFO - Player 3, Action 70, Action type return token, Total tokens 9, Next player 3
2025-04-15 21:35:30,647 - INFO - Player 0, Action 12, Action type pick token, Total tokens 12, Next player 0
2025-04-15 21:35:30,648 - INFO - Player 1, Action 11, Action type pick token, Total tokens 10, Next player 1
2025-04-15 21:35:30,650 - INFO - Player 2, Action 83, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,651 - INFO - Player 3, Action 1, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:35:30,652 - INFO - Player 0, Action 70, Action type return token, Total tokens 10, Next player 0
2025-04-15 21:35:30,653 - INFO - Player 1, Action 12, Action type pick token, Total tokens 12, Next player 1
2025-04-15 21:35:30,655 - INFO - Player 2, Action 9, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,657 - INFO - Player 3, Action 4, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,659 - INFO - Player 0, Action 35, Action type buy card, Total tokens 6, Next player 0
2025-04-15 21:35:30,660 - INFO - Player 1, Action 73, Action type return token, Total tokens 9, Next player 1
2025-04-15 21:35:30,661 - INFO - Player 2, Action 86, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,662 - INFO - Player 3, Action 73, Action type return token, Total tokens 8, Next player 3
2025-04-15 21:35:30,664 - INFO - Player 0, Action 21, Action type pick token, Total tokens 9, Next player 0
2025-04-15 21:35:30,665 - INFO - Player 1, Action 13, Action type pick token, Total tokens 11, Next player 1
2025-04-15 21:35:30,667 - INFO - Player 2, Action 20, Action type pick token, Total tokens 12, Next player 2
2025-04-15 21:35:30,668 - INFO - Player 3, Action 0, Action type pick token, Total tokens 9, Next player 3
2025-04-15 21:35:30,669 - INFO - Player 0, Action 3, Action type pick token, Total tokens 10, Next player 0
2025-04-15 21:35:30,670 - INFO - Player 1, Action 60, Action type return token, Total tokens 10, Next player 1
2025-04-15 21:35:30,671 - INFO - Player 2, Action 75, Action type return token, Total tokens 9, Next player 2
2025-04-15 21:35:30,673 - INFO - Player 3, Action 2, Action type pick token, Total tokens 10, Next player 3
2025-04-15 21:35:30,674 - INFO - Player 0, Action 1, Action type pick token, Total tokens 11, Next player 0
2025-04-15 21:35:30,676 - INFO - Player 1, Action 37, Action type buy card, Total tokens 7, Next player 1
2025-04-15 21:35:30,678 - INFO - Player 2, Action 6, Action type pick token, Total tokens 11, Next player 2
2025-04-15 21:35:30,679 - INFO - Player 3, Action 1, Action type pick token, Total tokens 11, Next player 3
2025-04-15 21:35:30,680 - INFO - Player 0, Action 85, Action type return token, Total tokens 9, Next player 0
2025-04-15 21:35:30,682 - INFO - Player 1, Action 55, Action type buy reserved, Total tokens 4, Next player 1
2025-04-15 21:35:30,683 - INFO - Player 2, Action 82, Action type return token, Total tokens 9, Next player 2
