2025-04-29 09:43:42,683 - __main__ - INFO - Initializing AlphaZero trainer
2025-04-29 09:43:42,683 - __main__ - INFO - Debug mode: True
2025-04-29 09:43:42,696 - __main__ - INFO - ==================================================
2025-04-29 09:43:42,696 - __main__ - INFO - DETAILED ENVIRONMENT DIMENSIONS ANALYSIS
2025-04-29 09:43:42,697 - __main__ - INFO - ==================================================
2025-04-29 09:43:42,697 - __main__ - INFO - Card feature dimension: 8
2025-04-29 09:43:42,697 - __main__ - INFO - Primary cards shape: (90, 8)
2025-04-29 09:43:42,697 - __main__ - INFO - 
--- State Dimension Breakdown ---
2025-04-29 09:43:42,697 - __main__ - INFO - 1. Card state: 4 levels × 3 cards × 8 features = 96
2025-04-29 09:43:42,699 - __main__ - INFO - 2. Gems: 6 types = 6
2025-04-29 09:43:42,700 - __main__ - INFO - 3. Player state: 6 (gems) + 5 (other) + 8 × 3 cards = 35
2025-04-29 09:43:42,700 - __main__ - INFO - 4. Noble tiles: 5 nobles × 5 features = 25
2025-04-29 09:43:42,700 - __main__ - INFO - 
Total state dimension: 96 + 6 + 35 + 25 = 162
2025-04-29 09:43:42,700 - __main__ - INFO - Action dimension: 88
2025-04-29 09:43:42,701 - __main__ - INFO - 
--- State Dimension Formula ---
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = (4 × 3 × 8) + 6 + (6 + 5 + 8 × 3) + (5 × 5)
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = 96 + 6 + 11 + 24 + 25
2025-04-29 09:43:42,701 - __main__ - INFO - state_dim = 120 + 42 = 162
2025-04-29 09:43:42,926 - __main__ - INFO - Using device: cuda
2025-04-29 09:43:44,204 - __main__ - INFO - Environment initialized with state_dim=162, action_dim=88
2025-04-29 09:43:44,204 - __main__ - INFO - Training parameters: lr=0.001, weight_decay=0.0001, batch_size=2048, replay_size=10000, num_simulations=100
2025-04-29 09:43:44,205 - __main__ - INFO - ==================================================
2025-04-29 09:43:44,207 - __main__ - WARNING - Model file models/alphazero_final.pth not found. Starting with a new model.
2025-04-29 09:43:44,207 - __main__ - INFO - Starting AlphaZero training from iteration 1 for 20 iterations
2025-04-29 09:44:58,063 - __main__ - DEBUG - Game 1, Step 119: Player 0 chose action 56
2025-04-29 09:44:58,611 - __main__ - DEBUG - Game 1, Step 120: Player 1 chose action 3
2025-04-29 09:44:59,072 - __main__ - DEBUG - Game 1, Step 121: Player 2 chose action 17
2025-04-29 09:44:59,589 - __main__ - DEBUG - Game 1, Step 122: Player 3 chose action 72
2025-04-29 09:45:00,149 - __main__ - DEBUG - Game 1, Step 123: Player 0 chose action 30
2025-04-29 09:45:00,616 - __main__ - DEBUG - Game 1, Step 124: Player 1 chose action 13
2025-04-29 09:45:01,181 - __main__ - DEBUG - Game 1, Step 125: Player 2 chose action 69
2025-04-29 09:45:01,861 - __main__ - DEBUG - Game 1, Step 126: Player 3 chose action 19
2025-04-29 09:45:02,485 - __main__ - DEBUG - Game 1, Step 127: Player 0 chose action 4
2025-04-29 09:45:03,041 - __main__ - DEBUG - Game 1, Step 128: Player 1 chose action 10
2025-04-29 09:45:03,569 - __main__ - DEBUG - Game 1, Step 129: Player 2 chose action 32
2025-04-29 09:45:04,099 - __main__ - DEBUG - Game 1, Step 130: Player 3 chose action 61
2025-04-29 09:45:04,679 - __main__ - DEBUG - Game 1, Step 131: Player 3 chose action 86
2025-04-29 09:45:05,322 - __main__ - DEBUG - Game 1, Step 132: Player 0 chose action 1
2025-04-29 09:45:05,988 - __main__ - DEBUG - Game 1, Step 133: Player 1 chose action 11
2025-04-29 09:45:06,741 - __main__ - DEBUG - Game 1, Step 134: Player 2 chose action 13
2025-04-29 09:45:07,399 - __main__ - DEBUG - Game 1, Step 135: Player 3 chose action 14
2025-04-29 09:45:08,060 - __main__ - DEBUG - Game 1, Step 136: Player 0 chose action 26
2025-04-29 09:45:08,616 - __main__ - DEBUG - Game 1, Step 137: Player 1 chose action 21
2025-04-29 09:45:09,180 - __main__ - DEBUG - Game 1, Step 138: Player 2 chose action 29
2025-04-29 09:45:09,711 - __main__ - DEBUG - Game 1, Step 139: Player 3 chose action 84
2025-04-29 09:45:10,328 - __main__ - DEBUG - Game 1, Step 140: Player 0 chose action 32
2025-04-29 09:45:10,816 - __main__ - DEBUG - Game 1, Step 141: Player 1 chose action 86
2025-04-29 09:45:11,412 - __main__ - DEBUG - Game 1, Step 142: Player 1 chose action 60
2025-04-29 09:45:12,104 - __main__ - DEBUG - Game 1, Step 143: Player 2 chose action 31
2025-04-29 09:45:12,726 - __main__ - DEBUG - Game 1, Step 144: Player 3 chose action 29
2025-04-29 09:45:13,464 - __main__ - DEBUG - Game 1, Step 145: Player 0 chose action 1
2025-04-29 09:45:14,085 - __main__ - DEBUG - Game 1, Step 146: Player 1 chose action 25
2025-04-29 09:45:14,627 - __main__ - DEBUG - Game 1, Step 147: Player 2 chose action 26
2025-04-29 09:45:15,189 - __main__ - DEBUG - Game 1, Step 148: Player 3 chose action 84
2025-04-29 09:45:15,674 - __main__ - DEBUG - Game 1, Step 149: Player 0 chose action 2
2025-04-29 09:45:16,257 - __main__ - DEBUG - Game 1, Step 150: Player 1 chose action 59
2025-04-29 09:45:16,884 - __main__ - DEBUG - Game 1, Step 151: Player 1 chose action 72
2025-04-29 09:45:17,551 - __main__ - DEBUG - Game 1, Step 152: Player 2 chose action 31
2025-04-29 09:45:18,194 - __main__ - DEBUG - Game 1, Step 153: Player 3 chose action 4
2025-04-29 09:45:18,829 - __main__ - DEBUG - Game 1, Step 154: Player 0 chose action 18
2025-04-29 09:45:19,447 - __main__ - DEBUG - Game 1, Step 155: Player 1 chose action 27
2025-04-29 09:45:19,999 - __main__ - DEBUG - Game 1, Step 156: Player 2 chose action 2
2025-04-29 09:45:20,611 - __main__ - DEBUG - Game 1, Step 157: Player 3 chose action 77
2025-04-29 09:45:21,224 - __main__ - DEBUG - Game 1, Step 158: Player 0 chose action 0
2025-04-29 09:45:21,817 - __main__ - DEBUG - Game 1, Step 159: Player 1 chose action 7
2025-04-29 09:45:22,354 - __main__ - DEBUG - Game 1, Step 160: Player 2 chose action 56
2025-04-29 09:45:22,796 - __main__ - DEBUG - Game 1, Step 161: Player 3 chose action 23
2025-04-29 09:45:23,208 - __main__ - DEBUG - Game 1, Step 162: Player 0 chose action 64
2025-04-29 09:45:23,760 - __main__ - DEBUG - Game 1, Step 163: Player 1 chose action 58
2025-04-29 09:45:24,239 - __main__ - DEBUG - Game 1, Step 164: Player 1 chose action 67
2025-04-29 09:45:24,751 - __main__ - DEBUG - Game 1, Step 165: Player 2 chose action 47
2025-04-29 09:45:25,333 - __main__ - DEBUG - Game 1, Step 166: Player 3 chose action 86
2025-04-29 09:45:25,912 - __main__ - DEBUG - Game 1, Step 167: Player 0 chose action 5
2025-04-29 09:45:26,510 - __main__ - DEBUG - Game 1, Step 168: Player 1 chose action 10
2025-04-29 09:45:27,055 - __main__ - DEBUG - Game 1, Step 169: Player 2 chose action 13
2025-04-29 09:45:27,533 - __main__ - DEBUG - Game 1, Step 170: Player 3 chose action 24
2025-04-29 09:45:27,991 - __main__ - DEBUG - Game 1, Step 171: Player 0 chose action 68
2025-04-29 09:45:28,438 - __main__ - DEBUG - Game 1, Step 172: Player 1 chose action 72
2025-04-29 09:45:28,827 - __main__ - DEBUG - Game 1, Step 173: Player 2 chose action 11
2025-04-29 09:45:29,262 - __main__ - DEBUG - Game 1, Step 174: Player 3 chose action 69
2025-04-29 09:45:29,742 - __main__ - DEBUG - Game 1, Step 175: Player 0 chose action 23
2025-04-29 09:45:30,253 - __main__ - DEBUG - Game 1, Step 176: Player 1 chose action 6
2025-04-29 09:45:30,743 - __main__ - DEBUG - Game 1, Step 177: Player 2 chose action 30
2025-04-29 09:45:31,258 - __main__ - DEBUG - Game 1, Step 178: Player 3 chose action 4
2025-04-29 09:45:31,748 - __main__ - DEBUG - Game 1, Step 179: Player 0 chose action 86
2025-04-29 09:45:32,326 - __main__ - DEBUG - Game 1, Step 180: Player 1 chose action 35
2025-04-29 09:45:32,830 - __main__ - DEBUG - Game 1, Step 181: Player 2 chose action 19
2025-04-29 09:45:33,382 - __main__ - DEBUG - Game 1, Step 182: Player 3 chose action 77
2025-04-29 09:45:33,948 - __main__ - DEBUG - Game 1, Step 183: Player 0 chose action 48
2025-04-29 09:45:34,535 - __main__ - DEBUG - Game 1, Step 184: Player 1 chose action 12
2025-04-29 09:45:35,163 - __main__ - DEBUG - Game 1, Step 185: Player 2 chose action 2
2025-04-29 09:45:35,739 - __main__ - DEBUG - Game 1, Step 186: Player 3 chose action 8
2025-04-29 09:45:36,308 - __main__ - DEBUG - Game 1, Step 187: Player 0 chose action 83
2025-04-29 09:45:36,901 - __main__ - DEBUG - Game 1, Step 188: Player 1 chose action 8
2025-04-29 09:45:37,492 - __main__ - DEBUG - Game 1, Step 189: Player 2 chose action 1
2025-04-29 09:45:38,084 - __main__ - DEBUG - Game 1, Step 190: Player 3 chose action 25
2025-04-29 09:45:38,636 - __main__ - DEBUG - Game 1, Step 191: Player 0 chose action 37
2025-04-29 09:45:39,181 - __main__ - DEBUG - Game 1, Step 192: Player 1 chose action 25
2025-04-29 09:45:39,656 - __main__ - DEBUG - Game 1, Step 193: Player 2 chose action 57
2025-04-29 09:45:40,143 - __main__ - DEBUG - Game 1, Step 194: Player 3 chose action 60
2025-04-29 09:45:40,613 - __main__ - DEBUG - Game 1, Step 195: Player 3 chose action 60
2025-04-29 09:45:41,073 - __main__ - DEBUG - Game 1, Step 196: Player 0 chose action 23
2025-04-29 09:45:41,585 - __main__ - DEBUG - Game 1, Step 197: Player 1 chose action 84
2025-04-29 09:45:42,209 - __main__ - DEBUG - Game 1, Step 198: Player 2 chose action 20
2025-04-29 09:45:43,003 - __main__ - DEBUG - Game 1, Step 199: Player 3 chose action 27
