2025-04-15 21:08:33,158 - INFO - Starting Dueling DQN training for SplendorLightZeroEnv
2025-04-15 21:08:34,806 - INFO - Player 1, Action 2, Total tokens 10, Next player 1
2025-04-15 21:08:34,808 - INFO - Player 2, Action 83, Total tokens 10, Next player 2
2025-04-15 21:08:34,810 - INFO - Player 3, Action 4, Total tokens 11, Next player 3
2025-04-15 21:08:34,812 - INFO - Player 0, Action 22, Total tokens 11, Next player 0
2025-04-15 21:08:34,815 - INFO - Player 1, Action 2, Total tokens 11, Next player 1
2025-04-15 21:08:34,817 - INFO - Player 2, Action 36, Total tokens 6, Next player 2
2025-04-15 21:08:34,819 - INFO - Player 3, Action 70, Total tokens 9, Next player 3
2025-04-15 21:08:34,820 - INFO - Player 0, Action 78, Total tokens 8, Next player 0
2025-04-15 21:08:34,822 - INFO - Player 1, Action 62, Total tokens 9, Next player 1
2025-04-15 21:08:34,824 - INFO - Player 2, Action 25, Total tokens 8, Next player 2
2025-04-15 21:08:34,826 - INFO - Player 3, Action 16, Total tokens 12, Next player 3
2025-04-15 21:08:34,829 - INFO - Player 0, Action 22, Total tokens 11, Next player 0
2025-04-15 21:08:34,830 - INFO - Player 1, Action 25, Total tokens 11, Next player 1
2025-04-15 21:08:34,832 - INFO - Player 2, Action 27, Total tokens 10, Next player 2
2025-04-15 21:08:34,834 - INFO - Player 3, Action 74, Total tokens 9, Next player 3
2025-04-15 21:08:34,836 - INFO - Player 0, Action 61, Total tokens 10, Next player 0
2025-04-15 21:08:34,837 - INFO - Player 1, Action 82, Total tokens 9, Next player 1
2025-04-15 21:08:34,839 - INFO - Player 2, Action 23, Total tokens 13, Next player 2
2025-04-15 21:08:34,842 - INFO - Player 3, Action 37, Total tokens 6, Next player 3
2025-04-15 21:08:34,844 - INFO - Player 0, Action 13, Total tokens 12, Next player 0
2025-04-15 21:08:34,845 - INFO - Player 1, Action 8, Total tokens 11, Next player 1
2025-04-15 21:08:34,847 - INFO - Player 1, Action 65, Total tokens 11, Next player 1
2025-04-15 21:08:34,849 - INFO - Player 2, Action 77, Total tokens 8, Next player 2
2025-04-15 21:08:34,850 - INFO - Player 3, Action 9, Total tokens 8, Next player 3
2025-04-15 21:08:34,855 - INFO - Player 3, Action 60, Total tokens 11, Next player 3
2025-04-15 21:08:34,858 - INFO - Player 0, Action 60, Total tokens 10, Next player 0
2025-04-15 21:08:34,861 - INFO - Player 1, Action 59, Total tokens 10, Next player 1
2025-04-15 21:08:34,864 - INFO - Player 2, Action 7, Total tokens 10, Next player 2
2025-04-15 21:08:34,869 - INFO - Player 3, Action 37, Total tokens 3, Next player 3
2025-04-15 21:08:34,873 - INFO - Player 0, Action 0, Total tokens 11, Next player 0
2025-04-15 21:08:34,877 - INFO - Player 1, Action 23, Total tokens 13, Next player 1
2025-04-15 21:08:34,880 - INFO - Player 2, Action 21, Total tokens 13, Next player 2
2025-04-15 21:08:34,884 - INFO - Player 3, Action 26, Total tokens 5, Next player 3
2025-04-15 21:08:34,886 - INFO - Player 0, Action 86, Total tokens 9, Next player 0
2025-04-15 21:08:34,888 - INFO - Player 1, Action 74, Total tokens 10, Next player 1
2025-04-15 21:08:34,890 - INFO - Player 1, Action 70, Total tokens 11, Next player 1
2025-04-15 21:08:34,892 - INFO - Player 2, Action 60, Total tokens 10, Next player 2
2025-04-15 21:08:34,895 - INFO - Player 3, Action 20, Total tokens 8, Next player 3
2025-04-15 21:08:34,901 - INFO - Player 0, Action 13, Total tokens 11, Next player 0
2025-04-15 21:08:34,904 - INFO - Player 1, Action 55, Total tokens 8, Next player 1
2025-04-15 21:08:34,907 - INFO - Player 2, Action 12, Total tokens 12, Next player 2
2025-04-15 21:08:34,909 - INFO - Player 3, Action 14, Total tokens 10, Next player 3
